Timestamp,ForwardX,ForwardY,ForwardZ,EulerAngleX,EulerAngleY,EulerAngleZ
1.7156,0.369819,-0.046120,0.927958,2.643447,21.728750,10.853090
1.7409,0.369605,-0.032775,0.928611,1.878217,21.703500,9.707581
1.7707,0.370108,-0.033862,0.928371,1.940549,21.735400,9.397875
1.7853,0.365997,-0.017666,0.930449,1.012266,21.472440,7.902130
1.7997,0.366357,-0.015863,0.930339,0.908949,21.493930,8.027580
1.8117,0.366405,-0.008831,0.930414,0.506011,21.494950,7.714396
1.8267,0.367058,-0.001311,0.930197,0.075110,21.534310,7.394852
1.8399,0.367232,0.007788,0.930097,359.553800,21.545680,6.942744
1.8525,0.366456,0.015504,0.930306,359.111700,21.499920,6.477022
1.8659,0.367504,0.023969,0.929713,358.626600,21.568240,6.021132
1.8787,0.367676,0.030739,0.929446,358.238500,21.583060,5.555181
1.8919,0.370086,0.030034,0.928512,358.278900,21.731200,5.543766
1.9063,0.371548,0.034403,0.927776,358.028500,21.824690,5.082799
1.9203,0.372166,0.038552,0.927365,357.790600,21.866360,4.609521
1.9339,0.373318,0.038625,0.926899,357.786400,21.937590,4.149580
1.9465,0.373159,0.039889,0.926910,357.713900,21.928930,3.719234
1.9588,0.372597,0.042176,0.927034,357.582800,21.896360,3.251859
1.9732,0.371021,0.043856,0.927588,357.486400,21.800630,2.800471
1.9868,0.370069,0.046658,0.927832,357.325700,21.744790,2.354282
2.0019,0.369504,0.049721,0.927898,357.150100,21.713220,1.905324
2.0166,0.368812,0.051981,0.928049,357.020400,21.673140,1.431587
2.0293,0.367524,0.056666,0.928286,356.751600,21.599440,0.928744
2.0426,0.365495,0.063386,0.928653,356.365800,21.483380,0.534062
2.0556,0.364095,0.071597,0.928606,355.894300,21.409560,0.178912
2.0713,0.363017,0.078079,0.928505,355.521800,21.353980,359.823000
2.0848,0.362329,0.083016,0.928346,355.238100,21.320470,359.421100
2.0981,0.361467,0.087789,0.928243,354.963600,21.276460,358.971800
2.1059,0.360734,0.091428,0.928177,354.754200,21.238520,358.552500
2.1206,0.360462,0.088366,0.928579,354.930400,21.215520,358.578800
2.1341,0.358851,0.088136,0.929225,354.943600,21.115720,358.176400
2.1425,0.357989,0.091493,0.929232,354.750500,21.069310,357.757600
2.1521,0.355192,0.086732,0.930761,355.024400,20.887580,357.327500
2.1670,0.352339,0.080860,0.932373,355.362000,20.701340,356.897700
2.1811,0.349750,0.076298,0.933731,355.624200,20.534560,356.492600
2.1940,0.347306,0.071379,0.935031,355.906800,20.376920,356.109600
2.2088,0.343996,0.066315,0.936626,356.197600,20.166850,355.775100
2.2212,0.340481,0.066349,0.937908,356.195700,19.952020,355.440400
2.2357,0.337570,0.067115,0.938905,356.151700,19.775340,355.325000
2.2489,0.335031,0.071835,0.939465,355.880600,19.627190,355.208700
2.2640,0.332606,0.076554,0.939954,355.609500,19.486510,354.950000
2.2757,0.331240,0.081080,0.940056,355.349400,19.410520,354.672600
2.2897,0.330831,0.085434,0.939815,355.099000,19.392950,354.259200
2.3048,0.330368,0.088244,0.939718,354.937400,19.369670,353.865700
2.3185,0.330654,0.090395,0.939413,354.813700,19.391000,353.818000
2.3315,0.331464,0.094869,0.938686,354.556200,19.448890,353.599100
2.3450,0.332086,0.099045,0.938035,354.315800,19.495120,353.459200
2.3578,0.331700,0.100711,0.937994,354.219900,19.474940,353.371400
2.3727,0.331290,0.101230,0.938083,354.190000,19.450980,353.204200
2.3868,0.331005,0.101742,0.938128,354.160500,19.434680,352.906600
2.4011,0.330889,0.101574,0.938187,354.170200,19.427240,352.666300
2.4140,0.330659,0.102708,0.938145,354.104900,19.415530,352.542100
2.4284,0.330001,0.104873,0.938137,353.980100,19.379960,352.594700
2.4427,0.329524,0.107457,0.938012,353.831300,19.356380,352.560100
2.4572,0.328626,0.116732,0.937218,353.296400,19.322700,352.855500
2.4725,0.327699,0.124559,0.936536,352.844700,19.285200,352.986900
2.4865,0.326638,0.130034,0.936162,352.528400,19.234500,353.017900
2.4993,0.325483,0.136916,0.935583,352.130600,19.182460,353.032600
2.5154,0.323376,0.145729,0.934982,351.620500,19.078620,353.076800
2.5276,0.321636,0.155314,0.934039,351.065000,19.001100,353.097900
2.5414,0.319083,0.165898,0.933094,350.450600,18.878780,353.172600
2.5551,0.316466,0.173664,0.932572,349.999100,18.744530,353.174300
2.5695,0.313333,0.182056,0.932029,349.510500,18.581820,353.175000
2.5847,0.309671,0.188563,0.931959,349.131000,18.380610,353.292500
2.5986,0.305337,0.197908,0.931451,348.585300,18.149570,353.402000
2.6124,0.300997,0.204909,0.931350,348.175800,17.909980,353.548000
2.6251,0.295368,0.211845,0.931600,347.769500,17.591470,353.746700
2.6394,0.291169,0.222693,0.930392,347.132800,17.377690,353.847200
2.6524,0.284417,0.231390,0.930358,346.621100,16.998750,354.228500
2.6652,0.280231,0.241931,0.928946,345.999500,16.786760,354.357400
2.6807,0.276611,0.253018,0.927075,345.343800,16.613520,354.520900
2.6953,0.273912,0.262976,0.925103,344.753300,16.493390,354.655600
2.7087,0.271302,0.273541,0.922806,344.124900,16.383200,354.757100
2.7209,0.268676,0.283868,0.920452,343.508800,16.272310,354.812200
2.7357,0.266598,0.291641,0.918624,343.043800,16.183510,354.736600
2.7506,0.263767,0.299697,0.916847,342.560600,16.049970,354.727400
2.7659,0.261270,0.304570,0.915956,342.267700,15.920400,354.668200
2.7785,0.257325,0.310555,0.915063,341.907300,15.706500,354.639500
2.7927,0.253268,0.316892,0.914021,341.525000,15.487630,354.615900
2.8046,0.248220,0.320050,0.914306,341.334100,15.188850,354.550700
2.8192,0.242483,0.323602,0.914595,341.119100,14.849000,354.564500
2.8346,0.236639,0.327573,0.914712,340.878500,14.504610,354.581700
2.8484,0.230363,0.330458,0.915276,340.703400,14.127140,354.639600
2.8626,0.223246,0.335311,0.915275,340.408600,13.707420,354.756900
2.8770,0.217290,0.341495,0.914421,340.032000,13.367000,354.875200
